Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Salatalik Çorbasi,Türk,40 dk,"2 adet salatalik 
1 çay bardasi iç ceviz 
1 kg yogurt 
2 yemek kasigi kiyilmis taze nane  
4 dis sarmisak 
3 yemek kasigi zeytinyagi","1-Salataliklari soyup ortadan ikiye ayirin. iri çekirdekleri varsa çikarin, 
küçük parçalar halinde dograyip üzerine tuz serperek 30 dakika bekletin. 
2-Salataligin suyunu ince delikli bir süzgeçten bastirarak çikartin. Bu suyu 
yogurt, kiyilmis ceviz, nane, dövülmüs sarmisak ve biberle karistirin. 
Damla damla zeytinyagi yedirin. Servise kadar buzdolabinda bekletin. 
3-Servis yaparken çorba kaselerine birer dilim salatalik koyup 1 yemek 
kasigi da kirilmis buz serpin."
Fasulye Çorbasi,Türk,45 dk,"250 gr kuru fasulye 
1 orta boy sogan 
1 dis sarmisak 
1 buke garni (maydanoz koku, defne yapragi, kekik sapi vb bagli olarak) 
4 sap kereviz 
2 ince sap pirasa 
2 tepeleme yemek kasigi tereyag 
4 orta boy domates 
tuz","1-Fasulyeleri ayiklayip 4-5 saat soguk suyla islatin.Suyunu suzup 2 ½ litre 
sicak suyla atese koyun.1 adet sogan, sarmisak ve buke garniyi katin. 
2-Kereviz ve pirasayi kucuk parcalar halinde dograyip 1 kasik yagla kisik 
ates uzerinde pismeye birakin.Domatesin kabuklarini ve cekirdeklerini 
cikartip dogradiktan sonra karisima ekleyin. 

3-Fasulye yumusayinca icinden sogan ve buke garniyi cikartip domatesli 
karisima katin.Sonra da pure makinasindan gecirin, tekrar atese koyup 
yeterince tuz katin.Servisten once yumurta sarisini 2-3 kasik corbayla 
alistirarak sulandirin ve kalan 1 kasik yagla birlikte corbaya katin. 
Yagda kizdirilmis ekmeklerle servis yapin."
Sogan Çorbasi,Bilinmiyor,45 dk,"2 ½ lt et suyu (10 bardak) 
3-4 adet sogan 
2 yemek kasigi tereyagi veya margarin 
2 kahve fincani silme un  
Terbiyesi: 2 yumurta sarisi 
½ lt süt (2 bardak)","1-Soganlari ayiklayip ortadan ikiye keserek ince yarim halkalar halinde 
dograyin. 

2-Tereyagla beraber biraz kavurun. Un katip 2-3 dakika karistirin. Et suyu 
koyup 30 dakika yavas yavas kaynatin. 
3-Süzgeçten baska bir kaba geçirin. Tuz atip tekrar atese oturtun. Sütle 
çirpilmis yumurtayi katarak bir iki tasim kaynatip atesten indirin. 
4-Çorbayi ya birer kisilik kaselere ya da büyük servis kasesine bosaltin. 
Üzerine rendelenmis peynir serpistirin. Firinda kizartip servis yapin."
Patates Çorbasi,Türk,45 dk,"2 ½ lt et suyu (10 bardak) 
2 orta boy sogan 
3-4 adet patates 
1 kahve fincani un 
1 küçük paket tereyagi veya margarin 
1 çay kasigi hindistancevizi 
tuz 
Terbiyesi: 1 bardak süt 
2 yumurta sarisi 
Garnitürü: 2 adet yumurta aki 

1 çay bardagi kasarpeyniri (rendelenmis) 
1 çay kasigi kirmizibiber 
1 yemek kasigi kiyilmis maydanoz 
2-3 dilim bayat ekm","1-Soganlari küçük parçalar halinde dograyin, iki kasik yagla açik renkte 
kavurun. Un katin , iki üç dakika daha kavurun. Et suyu ile kusbasi 
dogranmis patatesleri, hindistancevizi ve tuz koyup yavas yavas 
kaynatarak 30 dakika pisirin. 
2-Çorbayi baska bir kaba süzün. Tekrar atese koyun. Terbiyesini yapin ve 
atesten indirin. Garnitürüyle servis yapin. 
Garnitürün yapilisi: Yumurta akina kasar peyniri, kirmizibiber ve 
maydanoz katin. Bu karisimi ekmeklerin üzerine sürün. Küçük küp 
seklinde kesip çorbayla servis yapin"
Bezelye Çorbasi,Bilinmiyor,45 dk,"2 ½ lt et suyu(10 bardak) 
250 gr (1 bardak) kuru bezelye 
2 orta boy sogan 
1 kucuk havuç 
2 yemek kasigi un 
2 yemek kasigi (tepeleme) tereyagi veya margarin 
½ yemek kasigi tuz 
Terbiyesi:1 bardak süt 
2 yumurta sarisi 
Garnitürü:125 gr un 
½ küçük paket margarin 
1 adet yumurta  
1 çay kasigi tuz","1-Bezelyeyi ayiklayip yikadiktan sonra 4-5 saat suda bekletin. 
2-Sogan ve havuçlari küçük parçalara dograyip, yagla birlikte kisik ateste 
4-5 dakika börttürün. Un katin ve 2-3 dakika daha kavurun. Et suyu ve 
bezelyeyi koyun, kisik ateste bezelye ezilinceye kadar pisirin. 
3-Çorbayi süzgeçten ezerek baska bir kaba aktarin. Tuz atip tekrar atese 
koyun. Sütlü terbiyesini katin ve servis yaparken çorbanin üzerine birer 
kasik garnitürden serpistirin. 

Garnitürün yapilisi: Unla yagi birlikte kiyin, yumurta, tuz katip biraz 
yogurun. Hamuru iki parçaya ayirin. Kalem çapinda uzun bir çubuk yapin. 
3 cm uzunlugunda verevine parçalara kesin. Azar azar kizdirilmis yaga atip 
pembe renkte kizartin."
Kirmizi Mercimek Çorbasi,Türk,30dk,"2 ½ lt (10 bardak) et suyu 
1 büyük boy sogan 
1 kahve fincani un 
259 gr (bir bardak tepeleme) kirmizi mercimek 
2 yemek kasigi tereyagi veya margarin 
½ yemek kasigi tuz 
Terbiyesi:1 bardak süt 
2 yumurta sarisi","1-Sogani ayiklayip küçük parçalar halinde dograyin. 2 kasik yagla kisik 
ateste 4-5 dakika kizartin. içine un koyup 1-2 dakika daha karistirin. 
2-Ayiklayip yikadiginiz mercimegi, et suyu ile birlikte katin ve yavas yavas 
kaynatin. 
3-Çorbayi süzgeçten geçirin. Tekrar atese koyun. Sütlü terbiyesini katin. 
Bir iki tasim kaynatip indirin. Kizarmis ekmekle servis yapin. 
Sütlü terbiye: Eritilmis tereyag (1 yemek kasigi), un(1 yemek kasigi), 
süt(3 su bardagi) ve tuzu birbirine karistirin. Devamli karistirarak 5 dakika 
pisirin. 
Not: sütlü terbiye yapilmis çorbalara limon katilmaz (limon sütü keser)"
Yayla Çorbasi,Türk,30dk,"10 bardak et suyu 
½ bardak pirinç 
2 yemek kasigi un 
1 bardak süt veya su 
2 yumurta sarisi  
1 bardak yogurt 

1 yemek kasigi tereyagi veya margarin 
1 cay kasigi kirmizibiber 
2 çay kasigi kuru nane","1-Pirinci ayiklayip yikadiktan sonra et suyu ile birlikte atese koyun. 
Pirinçler yumusayincaya kadar hafif ates üzerinde kaynatarak pisirin. Tuz 
atin. 
2-Unu, süt veya suyla karistirarak bulamaç yapin. Kaynayan çorbaya 
katin. 5 dakika daha kaynatin. 
3-Yumurtayla yogurdu birlikte çirpin, çorbaya karistirip atesten indirin. 
4-Çorbanin üzerine kirmizibiber ve nane katilmis yagi gezdirin"
Tavuk Çorbasi (Sebzeli),Türk,40 dk,"10 bardak tavuk suyu 
250 gr karisik sebze (kabak, fasulye, havuç) 
1 tavuk gögsü 

1 yemek kasigi tereyagi  
½ bardak un 
1 bardak süt","1-Sebzeleri küp seklinde dograyin, 1 kasik yag ve üzerini örtecek kadar 
tavuk suyuyla atese koyun. Kisik ateste yumusayincaya kadar pisirin. 
2-Unla sütü birbirine karistirin, bu karisimi kaynayan sebzelere katin, 
artan tavuk suyunu da koyup 10 dakika kaynatin. Sonra kiyilmis tavuk eti 
ve tuz atip indirin."
irmik Çorbasi,Bilinmiyor,20,"8 bardak et suyu 
2 kahve fincani irmik 
1-2 yemek kasigi margarin  
1 ½ bardak süt 
tuz","1-Et suyunu kaynamaya birakin. irmigi serpistirerek katip 7-8 dakika 
pisirin. 
2-Yag ve yeterince tuz koyup sütü ekleyin, 3-4 dakika sonra servis yapin."
Kremali Mantar Çorbasi,Bilinmiyor,40 dk,"8 bardak et suyu 
258 gr taze mantar 
½ limon suyu 
1çay bardagi un  
1 bardak süt 
1 yemek kasigi tepeleme tereyagi 
Tuz, ½ çay kasigi kirmizibiber 
Bir fiske hindistan cevizi","1-Mantarlari yikadiktan sonra parçalara bölün; üzerine limon suyu gezdirip 
biraz bekletin. 
2-Bir tencerede yagi eritin ve mantarlari koyup birkaç dakika sote yapin. 
Et suyunu katip 10-15 dakika kaynatin. 
3-Sütle unu bir kapta karistirin ve kaynayan çorbaya katin. Tuz ve bahari 
koyup kisik ateste 15-20 dakika pisirin."
